,Text,Label
0,computer terminal system completes sale computer terminal system inc sale share common_stock warrant additional mln share n v switzerland dlrs company warrant exercisable year purchase price dlrs share computer terminal also right additional share increase total holding pct computer terminal outstanding_common stock certain circumstance change control company company condition occur warrant exercisable price equal pct common_stock market price time exceed dlrs share computer terminal also right dot impact technology future improvement inc houston dlrs continue exclusive worldwide licensee technology company move part reorganization plan help pay current operation cost product delivery computer terminal computer label form ticket printer terminal reuter,acq
1,inc year net shr_ct v dlrs net v asset mln v mln deposit mln v mln loan mln v mln note th_qtr available year extraordinary_gain tax carry forward dlrs ct shr reuter,earn
2,international inc nd_qtr jan oper_shr loss ct v profit ct oper_shr profit v profit rev mln v mln avg_shrs mln v mln mths oper_shr profit nil v profit ct oper_net profit v profit rev mln v mln avg_shrs mln v mln note shr payment dividend result exclude credit ct ct qtr mths v ct ct_prior period operating loss carryforwards reuter,earn
3,brown forman inc th_qtr net shr dlr v ct net mln v mln rev mln v mln mths_shr dlrs v dlrs net mln v mln rev v mln reuter,earn
4,dean food see strong th_qtr earnings dean food co earnings fourth_quarter exceed year_ago period chairman kenneth douglas told analyst fiscal fourth_quarter food earnings ct share douglas also year sale exceed dlrs dlrs prior year earlier projection third_quarter earnings probably slightly last_year ct share range ct ct share douglas early project fourth_quarter performance enough exceed prior year overall earnings dlrs share douglas dean experience pct improvement bottom line effect tax reform act alone president howard dean fiscal company benefit various dairy frozen vegetable acquisition ryan co dean also company benefit acquisition late december inc west chicago company major shareholder e b food ltd united kingdom licensing arrangement australia canada brazil japan entry corp year douglas told analyst reuter,earn
5,brown forman set stock_split ups payout brown forman inc board stock_split pct increase company cash dividend company earnings outlook continued strong cash_flow reason dividend brown forman split class class_b common_share effective march company director quarterly cash dividend new share class ct payable_april holder_record march prior split company paid ct quarterly brown forman today pct increase third_quarter profit mln dlrs dlr share pct increase sale record mln dlrs brown forman month profit bit mln dlrs dlrs share mln dlrs dlrs share year earlier due second_quarter charge ct share restructuring beverage operation company low corporate tax rate restructuring substantially brown forman earnings cash_flow fiscal reuter,earn
6,radio electronics inc th_qtr shr profit ct v profit ct annual div_ct v ct_prior yr net profit v profit rev v mths_shr profit ct v loss ct net profit v loss rev mln v note annual dividend_payable april stockholder record_march reuter,earn
7,united presidential corp th_qtr net shr_ct v ct net v rev mln v mln year shr dlrs v dlrs net v rev mln v mln note result include adjustment dlrs ct shr year period improvement result universal life business first reuter,earn
8,owen minor inc raise qtly dividend_qtly div ct v ct_prior pay march record_march reuter,earn
9,computer language research th_qtr shr loss ct v loss ct net loss v loss rev mln v mln qtly_div ct v ct_prior year shr profit ct v profit ct net profit v profit rev mln v mln note dividend_payable april shareholder record_march reuter,earn
