,Text,Label
0,catalog case present study interested apply method way method type literature address far propose begin single monograph subject catalog apply method citation analysis reference work determine_whether core literature catalog could discover way example core literature scientific field obtain journal_article science_citation index research via monograph non scientific subject minimal,cisi
1,description give diagnostic criterion put_forward associate call schizophrenic syndrome childhood psychotic reaction childhood organic state psychosis mental psychosis sensory deprivation psychosis suggest generic term psychosis best available classification present discuss,med
2,neonatal_hepatitis familial neonatal obstructive_jaundice four sibling boy chronic obstructive_jaundice described onset jaundice varied birth two family healthy although one case pathological finding neonatal_hepatitis giant_cell hepatitis possibility could exclude described giant_cell hepatitis appear morphological picture must several cause conclude finding patient one possible cause socalled giant_cell hepatitis error metabolism,med
3,handbook comparative librarianship first_part write deal comparative librarianship comparative method intend teacher comparative librarianship student approach number way first three chapter outline comparative librarianship theoretical basis methodology wider background comparative science scientific method three chapter follow purely practical explain various step write comparative_study last chapter intend teacher second_part compile mr bibliographical guide main source librarianship draw bibliography collect comparative librarianship student course project work reply various library_association world mr collection reference gather number year,cisi
4,design_evaluation information_system design_evaluation call chapter pose organizational problem author part design_evaluation two separate set activity former pertain planning development test new information_system structure modification exist structure latter appraisal assessment operational system system component however design include formulation goal objective system also provision evaluation accordance evaluation applies test design concept try preliminary implementation purpose improve initial design well appraisal operating system appraisal stage system may yield data indicate need system modification require assessment thus portion design_evaluation closely demonstrate review design_evaluation may examine respect outcome application methodology increasingly designer dependence outcome sound current literature research process design_evaluation well product,cisi
5,study inviscid_flow air high supersonic_speed study inviscid_flow air high supersonic_speed steady_flow curve airfoil high supersonic_speed investigate assumption air found shockexpansion_method may use predict flow curve airfoil extremely high_mach number provide flow deflection angle close correspond shock_detachment result applies determination surface pressure_distribution also determination whole flow_field airfoil verification observation obtain aid method characteristic extensive calculation pressure_gradient shockwave curvature lead_edge calculation pressure_distribution airfoil angle_attack approximation shockexpansion_method high_mach number also investigate found yield pressure error less percent mach_number three flow deflection angle method relatively_simple form thus may_prove useful engineering purpose effect imperfection air manifest disturbed flow_field high_mach number investigate particular_attention give reduction ratio_specific heat long ratio decrease appreciably include effect imperfection substantially accurate flow observation aid generalize shockexpansion_method generalize method characteristic employ form applicable local air temperature method modify employ average value ratio_specific heat particular flow_field simplify method essentially accuracy flow counterpart flow approximate flow analysis make extremely high_mach number indicate ratio_specific heat may approach close case found shockexpansion_method may considerable error however method limit infinite freestream_mach number ratio appear apply reasonable accuracy,cran
6,isbd standard isbd mean radical change descriptive catalog practice put operation plan library_congress user lc catalog_card require reference librarian experience immediate continue demand explanation new catalog_card user large public research library computerbased_system require modification computer_program yet isbd international_standard bibliographic_description implement library_congress without even consider recognize standard association say professional information industry organization,cisi
7,experimental_study vibration circular_cylindrical shell experimental_study vibration circular_cylindrical shell apparatus described permit mode_shape circular_cylindrical shell obtain quite easily measurement_make without contact cylinder convert actual value representative number result_obtain system show illustrate relationship pattern frequency cylinder well effect internal_pressure frequency finally comparison_make result theory appropriate shell theory,cran
8,thermal effect transpiration_cool hemisphere thermal effect transpiration_cool hemisphere approximate_method use obtain injection distribution would exist isothermal hemisphere supersonic_stream distribution air_helium injection independent blowing level model distribution test supersonic laboratory wind_tunnel mach_number conclude design technique reasonably accurate data take near nose compare theory air_helium injection agreement case reduction heattransfer_coefficient good value insulate wall_temperature obtain near nose helium_injection percent local stagnation_temperature largely independent injection rate believe phenomenon may attribute helium within boundary_layer air injection cause slight reduction insulate wall_temperature show injection either air_helium hemisphere nose considerably reduces heat_flux surface additional reduction heat_flux result helium_injection oppose air injection predict exist theory largely absent,cran
9,pressure measurement supersonic_speed three conical wing unit aspect_ratio pressure measurement supersonic_speed three conical wing unit aspect_ratio pressure measurement_make mach_number range incidence three simple_model represent thick conical lead_edge test form part investigation effect thickness camber slender wing_aspect ratio model unity case spanwise cross_section bound measure pressure_distribution present along overall lift_drag exclude skin_friction base drag obtain integration,cran
10,transformation transonic_flow transformation transonic_flow author study problem find shape velocity along axis specify velocity along streamline assume increase singularity sonic velocity axis nozzle first study physical plane use power_series plane two characteristic differential_equation passing line branch point region line region stream_function outside region also singularity point correspond specify condition exit nozzle author proposes construct plane exit velocity finite sum regular throughout r square velocity fix require approximation specify velocity_distribution along axis solution convergent represent except region near nozzle exclude region author solution_obtain power_series show convergent region interest type solution consider author give nozzle infinitely_long supersonic part,cran
11,nucleic_acid metabolism lens iii effect previous communication report increase vivo incorporation p32 fraction rat lens hour animal expose r present study vitro uptake p32 albuminoid soluble rna_fraction normal x irradiate rat lens measure rna_fraction extract sodium sulfate per_cent nacl specific rna_fraction also paper activity individual well specific rna_fraction determine experiment also perform capsule remove hour activity determine nucleic_acid extract capsule three rna_fraction remain lens matter result experiment indicate incorporation p32 markedly stimulate hour r whole_body radiation significant effect soluble fraction effect heating much_less derive control_animal,med
12,use simulation study information_storage retrieval_system previous application simulation information_storage retrieval_system scope fail consider environment within system operate subsystem within large system include user retrieval_system three component form information feedback system user response influence funding operation attempt satisfy user_need within finite budget allocation theory provide basis describe user behavior industrial dynamic model developed simulate behavior university departmental library component result analysis produce discuss,cisi
13,library report deal complementary theme public public_library service provide two way give information nature public present make reporting people say public_library member also use belong never relative british write subject therefore mass observation date reading society young publisher survey book comprehensive scope detailed analysis survey go depth issue necessarily small part book,cisi
14,followup case publication two paper recently subject autistic stimulate author present case appear description value brief contribution lie fact follow least year may give idea result type case,med
15,mitral atresia associate pulmonary_venous anomaly pulmonary_venous anomaly observe among specimen mitral atresia anomalous pulmonary vein take form anomalous pulmonary_venous remain case pulmonary_venous anomaly represent group mitral atresia premature closure foramen anomalous pulmonary_venous group provide route flow pulmonary_venous blood understood develop response obstruction foramen mitral valve remain group ii factor could one latter group total anomalous pulmonary_venous common atrium patent foramen pulmonary_venous obstruction occur case,med
16,abstract concept method graduate library_school study abstract course include general material type abstract historical development abstract publication industry especially united_state need standard preparation evaluation product topic call concept text include method section contain instruction write various_type abstract edit prepare abstract publication detailed instruction supplement example exercise appendix brief discussion index abstract publication research automation treat extensively work believe topic great emphasis receive past computer use become_increasingly important aspect librarianship much research effort expend preparation evaluation abstract extract student librarian benefit know research understand computer_program research analyze text select key sentence prepare extract abstract benefit research discuss abstract key segment information industry opportunity available professional worker many librarian find activity reward know contribute effective use store information one chapter devote career opportunity,cisi
17,technical library user demand classification user group user demand technical library study habit customer technical library information department three main aim determination user demand discover item information document customer seek seek obtain classification user group demand test hypothesis possible classify customer meaningful user group possess common feature characteristic behavior pattern classify group need estimation significance librarian measure demand librarian library term expenditure time skill use stock make different user group,cisi
18,stagnationpoint distance flow_around air stagnationpoint distance flow_around air author_discus problem deflection cantilever initially shape circular arc subject arbitrarily inclined end load,cran
19,theory discharge_coefficient round entrance theory discharge_coefficient round entrance theory base consideration potential boundarylayer flow converge nozzle construct curve present show discharge_coefficient function diameter reynolds_number total equivalent length ratio section nozzle present theoretical curve discharge_coefficient versus diameter reynolds_number good_agreement experiment range_reynolds number theory provide rational framework correlate extrapolate experimental_result show effect pressure value discharge_coefficient design suggests take design operation,cran
20,light study develop respiratory light observation development rat lung show presence alveolar stage three stage identify electron_microscopy may present different part lung one time eg mm length stage lung_tissue immature appearance light electron_microscopy individual cell also immature respect glycogen present immature cell stage lung_tissue becomes vascular throughout stage development duct air space always line continuous complete epithelium blood vessel complete inclusion_body present epithelial cell early_stage development present large number epithelial cytoplasm suggest may indicate absorption fluid alveolar_space mechanism alveolar discuss nature remains uncertain respiratory fully differentiate birth importance fact human infant discuss adult consist epithelium varies thickness project perform whilst u grant medical research council canada express also express miss type manuscript,med
21,sustain oscillation system nonlinear damp particular type sustain oscillation system nonlinear damp particular type paper_deal oscillation dynamic system single degree_freedom linear restore force nonlinear damp force latter suppose function velocity simple graph damp negative small velocity becomes positive velocity certain value assumption rigorous solution present include equation_motion amplitude maximum velocity period simple solution_obtain limit_case small damp approximate_solution series power damp ratio work give satisfactory accuracy quite large value,cran
22,simultaneous use circulation hypothermia surgery heart operative technique cardiac surgery condition deep hypothermia simultaneous use pump described majority case patient cool water c perfusion volume reduce hypothermia others gradient c blood water maintain perfusion volume reduce less data present show neither technique lead change internal organ provide mean arterial pressure kept mm_hg perfusion overall mortality author case congenital_heart disease case close take flap tissue group mortality,med
