,0
0,0d
1,0d_0d
2,0g
3,0t
4,0t_0t
5,1024x768
6,16bit
7,1b
8,1d
9,1d9
10,1d9_1d9
11,1st
12,1t
13,24bit
14,24e
15,2b
16,2d
17,2nd
18,2q
19,32bit
20,3b
21,3d
22,3do
23,3rd
24,3t
25,3t_3t
26,4th
27,5u
28,6um
29,6um_6um
30,7ey
31,7u
32,8bit
33,9f
34,a4
35,a7
36,a86
37,a86_a86
38,aa
39,aaa
40,aaron
41,ab
42,abandon
43,abc
44,ability
45,able
46,abortion
47,absence
48,absolute
49,absolutely
50,abstract
51,absurd
52,abuse
53,ac
54,academic
55,academic_compute
56,accelerate
57,acceleration
58,accelerator
59,accept
60,acceptable
61,acceptance
62,accepted
63,access
64,access_online
65,access_unix
66,accessdigexcom
67,accessdigexnet
68,accessory
69,accident
70,accompany
71,accomplish
72,accord
73,account
74,accuracy
75,accurate
76,accusation
77,accuse
78,achieve
79,acid
80,acknowledge
81,acquire
82,across
83,act
84,action
85,active
86,actively
87,activity
88,actual
89,actually
90,ad
91,adam
92,adaptec
93,adapter
94,add
95,addition
96,additional
97,address
98,adequate
99,adjust
100,adjustment
101,adl
102,administration
103,admit
104,adopt
105,adult
106,advance
107,advanced
108,advantage
109,advertising
110,advice
111,advise
112,advocate
113,aerospace
114,affair
115,affect
116,affected
117,afford
118,afraid
119,age
120,agency
121,agenda
122,agent
123,ago
124,agree
125,agreement
126,ah
127,ahead
128,ahl
129,ai
130,ai_nt
131,aid
132,aim
133,air
134,aircraft
135,aka
136,al
137,ala
138,alan
139,alarm
140,alcohol
141,alex
142,alexander
143,algorithm
144,alias
145,alien
146,alike
147,alink_ksand
148,alive
149,allah
150,allege
151,allen
152,allergy
153,allocate
154,allow
155,allows
156,ally
157,almost
158,alomar
159,alone
160,along
161,alot
162,alpha
163,already
164,also
165,also_available
166,altatheism
167,alter
168,alternate
169,alternative
170,although
171,always
172,ama
173,amateur_radio
174,amaze
175,amendment
176,america
177,american
178,ames_ia
179,amiga
180,ammunition
181,among
182,amongst
183,amount
184,amp
185,amplifier
186,amuse
187,analog
188,analogy
189,analysis
190,analyze
191,ancient
192,anderson
193,andor
194,andre_beck
195,andrew
196,andrewcmuedu
197,andrewcmuedu_subject
198,andy
199,angel
200,anger
201,angle
202,angry
203,animal
204,animation
205,ankara
206,ann_arbor
207,announce
208,announcement
209,annoy
210,annual
211,anonymity
212,anonymous
213,anonymous_ftp
214,another
215,answer
216,answer_question
217,antenna
218,anthony
219,antibiotic
220,anybody
221,anybody_else
222,anybody_know
223,anymore
224,anyone
225,anyone_else
226,anyone_experience
227,anyone_know
228,anyone_tell
229,anything
230,anything_else
231,anyway
232,anyways
233,anywhere
234,ap
235,apart
236,apartment
237,apollo
238,apologize
239,apology
240,apostle
241,app
242,apparent
243,apparently
244,appeal
245,appear
246,appearance
247,apple
248,apple_computer
249,applecom
250,application
251,applies
252,apply
253,appoint
254,appreciate
255,approach
256,appropriate
257,approval
258,approve
259,approximately
260,apps
261,apr
262,apr_gmt
263,april
264,ar
265,arab
266,arbitrary
267,archie
268,architecture
269,archive
270,area
271,arena
272,argic_distribution
273,argue
274,argument
275,arise
276,arizona
277,arm
278,armenia
279,armenian
280,army
281,around
282,arrange
283,arrangement
284,array
285,arrest
286,arrive
287,arrogance
288,arrogant
289,art
290,arthur
291,article
292,articleid
293,artificial
294,as
295,ascii
296,aside
297,ask
298,ask_question
299,asks
300,aspect
301,assault
302,assemble
303,assembly
304,assert
305,assertion
306,asshole
307,assign
308,assist
309,assistance
310,associate
311,association
312,assume
313,assumes
314,assumption
315,assure
316,astronaut
317,astronomer
318,astronomy
319,atari
320,atf
321,atheism
322,atheist
323,athenamitedu
324,athosrutgersedu
325,ati
326,atlanta
327,atmosphere
328,atom
329,atrocity
330,attach
331,attack
332,attempt
333,attend
334,attendance
335,attention
336,attitude
337,attorney
338,attorney_general
339,attribute
340,au
341,audience
342,audio
343,august
344,austin
345,austin_line
346,austin_tx
347,australia
348,australia_line
349,austria
350,author
351,authority
352,authorize
353,auto
354,automatic
355,automatically
356,automobile
357,av
358,availability
359,available
360,available_anonymous
361,available_via
362,ave
363,avenue
364,average
365,avoid
366,aw
367,award
368,aware
369,away
370,awful
371,ax
372,ax_ax
373,ax_max
374,axe
375,az
376,azerbaijan
377,azerbaijani
378,azeri
379,b6
380,b8
381,b8f
382,b8f_b8f
383,b_b
384,b_g
385,ba
386,baalke_kelvinjplnasagov
387,baby
388,back
389,background
390,backup
391,bad
392,badly
393,baerga
394,bag
395,baku
396,balance
397,ball
398,balloon
399,baltimore
400,ban
401,band
402,bandwidth
403,bank
404,baptism
405,bar
406,barry
407,base
408,baseball
409,baseball_game
410,basic
411,basically
412,basis
413,bastard
414,bat
415,batf
416,batter
417,battery
418,batting
419,battle
420,baud
421,bay
422,bay_area
423,bayonet
424,bb
425,bc
426,bd
427,beach
428,beam
429,bear
430,bear_arm
431,bearing
432,beast
433,beat
434,beating
435,beautiful
436,beauty
437,become
438,becomes
439,bed
440,beep
441,beer
442,begin
443,behavior
444,behaviour
445,behind
446,beleive
447,belief
448,believe
449,believe_god
450,believe_speak
451,believer
452,bell
453,belong
454,belongs
455,ben
456,bench
457,benchmark
458,benefit
459,besides
460,best
461,best_offer
462,best_way
463,bet
464,beta
465,beyond
466,bh
467,bias
468,bible
469,biblical
470,big
471,big_brother
472,big_deal
473,big_enough
474,bike
475,bill
476,bill_clinton
477,bill_right
478,billion
479,binary
480,binding
481,biological
482,bios
483,bird
484,birth
485,bishop
486,bit
487,bit_image
488,bitmap
489,bitnet
490,bj
491,black
492,black_hole
493,black_white
494,blame
495,blast
496,bless
497,blind
498,block
499,blood
500,bloody
501,blow
502,blue
503,bm
504,bmw
505,bnrca
506,bo
507,board
508,bob
509,bobbe_viceicotekcom
510,bobby
511,body
512,bogus
513,bolt
514,bomb
515,bombing
516,bond
517,bone
518,book
519,boomer
520,boost
521,boot
522,border
523,bore
524,born
525,borrow
526,bos
527,bosnia
528,bosnian_muslim
529,boston
530,boston_university
531,boswell
532,bother
533,bottle
534,bottom
535,bought
536,bounce
537,bound
538,boundary
539,box
540,boy
541,br
542,brad
543,brain
544,brake
545,branch
546,branch_davidians
547,brand
548,brand_new
549,brave
550,break
551,breast
552,brent
553,brett
554,brian
555,bridge
556,brief
557,bright
558,bring
559,brings
560,britain
561,british
562,broad
563,broadcast
564,broke
565,broken
566,brookline_line
567,brother
568,brought
569,brown
570,bruce
571,bruin
572,bryan
573,btw
574,buck
575,budget
576,buf
577,buffalo
578,buffer
579,bug
580,build
581,building
582,built
583,builtin
584,bull
585,bullet
586,bullock
587,bullpen
588,bullshit
589,bunch
590,bundle
591,burden
592,bureau
593,burn
594,burn_dividian
595,burning
596,burst
597,bury
598,bus
599,bush
600,business
601,busy
602,butt
603,button
604,buy
605,buyer
606,buying
607,byte
608,c650
609,c_dept
610,c_tavares
611,ca
612,ca_nt
613,ca_usa
614,cable
615,cache
616,cage
617,cal
618,calculate
619,calculation
620,calgary
621,california
622,call
623,callback
624,calm
625,cambridge
626,camera
627,camp
628,campaign
629,campbell
630,campus
631,canada
632,canada_line
633,canadian
634,cancel
635,cancer
636,candida
637,candidate
638,canon
639,cant
640,canuck
641,cap
642,capability
643,capable
644,capacitor
645,capacity
646,capital
647,captain
648,capture
649,car
650,card
651,cardinal
652,care
653,career
654,careful
655,carefully
656,carl
657,carnegie_mellon
658,carrier
659,carry
660,carsonuwashingtonedu
661,carter
662,cartridge
663,case
664,case_western
665,cash
666,cast
667,cat
668,catalog
669,catch
670,catcher
671,category
672,catholic
673,catholic_church
674,caught
675,cause
676,cause_problem
677,cb
678,cbc
679,cc
680,ccocaltechedu
681,cd
682,cdc
683,cdrom
684,cdt_rocketswstratuscom
685,cdt_swstratuscom
686,cease
687,celebrate
688,cell
689,cellular_phone
690,center
691,center_policy
692,center_regional
693,central
694,centre
695,centris
696,century
697,certain
698,certainly
699,cf
700,ch
701,chain
702,chair
703,challenge
704,chamber
705,champion
706,chance
707,change
708,change_mind
709,change_oil
710,channel
711,chapter
712,char
713,character
714,characteristic
715,characterize
716,charge
717,charles
718,charter
719,chase
720,chastity_intellect
721,cheap
722,cheaper
723,cheat
724,check
725,checked
726,cheer
727,cheer_kent
728,chemical
729,chemistry
730,cherry
731,chest
732,chi
733,chicago
734,chief
735,child
736,child_abuse
737,chinese
738,chip
739,chip_encryption
740,choice
741,choose
742,chose
743,chosen
744,chris
745,christ
746,christian
747,christian_morality
748,christianity
749,christopher
750,chronic
751,chuck
752,church
753,ci
754,cia
755,cica
756,cincinnati
757,cipher
758,circle
759,circuit
760,circumstance
761,cite
762,citizen
763,city
764,civil
765,civil_right
766,civil_war
767,civilian
768,civilization
769,claim
770,claimed
771,clarify
772,clark
773,class
774,classic
775,classify
776,clause
777,clayton
778,clayton_cramer
779,clayton_e
780,clean
781,cleaning
782,clear
783,clearly
784,clemens
785,cleveland
786,cleveland_oh
787,cleveland_ohio
788,clevelandfreenetedu
789,clh
790,click
791,client
792,clinic
793,clinical
794,clinton
795,clinton_administration
796,clip
797,clipper
798,clipper_chip
799,clock
800,clone
801,close
802,close_road
803,closely
804,closer
805,closest
806,clothes
807,cloud
808,club
809,clue
810,clutch
811,cm
812,cmos
813,cnn
814,co
815,coach
816,coast
817,coat
818,cod
819,code
820,code_good
821,coin
822,col
823,cold
824,collapse
825,collect
826,collection
827,college
828,college_engineering
829,collision
830,color
831,colorado
832,colorado_boulder
833,colormap
834,colour
835,column
836,com
837,combat
838,combination
839,combine
840,come
841,come_across
842,come_back
843,come_mind
844,comet
845,comfort
846,comfortable
847,comic
848,command
849,commander
850,commandment
851,comment
852,commentary
853,commercial
854,commission
855,commit
856,commitment
857,committee
858,common
859,commonly
860,communicate
861,communication
862,communication_greenbelt
863,communication_usa
864,community
865,comp_sci
866,company
867,company_cdt
868,comparable
869,compare
870,comparison
871,compatibility
872,compatible
873,compete
874,competition
875,compile
876,compiler
877,complain
878,complaint
879,complete
880,completely
881,complex
882,complexity
883,complicate
884,component
885,compose
886,composite
887,compound
888,compress
889,compression
890,compromise
891,compuserve
892,compuservecom
893,compute
894,computer
895,computer_corp
896,computer_graphic
897,computer_inc
898,computer_network
899,computer_science
900,conceal
901,concentrate
902,concept
903,concern
904,concerned
905,conclude
906,conclusion
907,concrete
908,condemn
909,condition
910,conduct
911,conference
912,confidence
913,configuration
914,configure
915,confirm
916,conflict
917,confuse
918,confusion
919,congress
920,connect
921,connection
922,connector
923,consensus
924,consent
925,consequence
926,conservative
927,consider
928,considerably
929,consideration
930,consist
931,consistent
932,consistently
933,consists
934,conspiracy
935,constant
936,constantly
937,constitute
938,constitution
939,constitutional
940,construct
941,construction
942,consult
943,consultant
944,consume
945,consumer
946,contact
947,contain
948,contains
949,content
950,contest
951,context
952,continue
953,continued
954,contract
955,contradict
956,contradiction
957,contradictory
958,contrary
959,contrast
960,contribute
961,contribution
962,control
963,controller
964,convenient
965,convention
966,conventional
967,conversation
968,conversion
969,convert
970,converter
971,convict
972,conviction
973,convince
974,convincing
975,cook
976,cool
977,cool_tower
978,cooper
979,cooperation
980,coordinate
981,cop
982,copy
983,copy_protection
984,copying
985,copyright
986,core
987,corner
988,corp
989,corporate
990,corporation
991,corporation_line
992,correct
993,correction
994,correctly
995,correlation
996,correspond
997,corrupt
998,cost
999,could
1000,could_someone
1001,council
1002,count
1003,counter
1004,countersteering
1005,country
1006,county
1007,couple
1008,couple_year
1009,course
1010,court
1011,court_order
1012,courtesy
1013,covenant
1014,cover
1015,coverage
1016,cox
1017,cpu
1018,crack
1019,craft
1020,craig
1021,cramer_opinion
1022,cramer_optilinkcom
1023,cramer_uunet
1024,crap
1025,crash
1026,crazy
1027,create
1028,creates
1029,creation
1030,creative
1031,creator
1032,creature
1033,credit
1034,crew
1035,crime
1036,criminal
1037,crisis
1038,criterion
1039,critical
1040,criticism
1041,criticize
1042,cross
1043,crowd
1044,cry
1045,crypto
1046,cryptographic
1047,cryptography
1048,crystal
1049,cscmuedu
1050,cspittedu_gordon
1051,csutexasedu
1052,ct
1053,cub
1054,cult
1055,cultural
1056,culture
1057,cup
1058,cure
1059,curious
1060,current
1061,current_version
1062,currently
1063,curse
1064,cursor
1065,curve
1066,custom
1067,customer
1068,cut
1069,cx
1070,cycle
1071,cylinder
1072,cyprus
1073,d012s658uucp_frank
1074,d9
1075,da
1076,dad
1077,daily
1078,dale
1079,dallas
1080,damage
1081,damn
1082,dan
1083,dance
1084,danger
1085,dangerous
1086,daniel
1087,danny
1088,dare
1089,dark
1090,data
1091,database
1092,date
1093,date_apr
1094,daughter
1095,dave
1096,david
1097,david_david
1098,david_davidian
1099,david_koresh
1100,david_sternlight
1101,david_veal
1102,davidians
1103,davis
1104,day
1105,db
1106,dbd_urartusdpaorg
1107,dc
1108,dcx
1109,dd
1110,de
1111,dead
1112,deal
1113,dealer
1114,dealt
1115,dean
1116,dear
1117,death
1118,death_penalty
1119,debate
1120,dec
1121,decade
1122,december
1123,decent
1124,decide
1125,decides
1126,decision
1127,decision_make
1128,declare
1129,decline
1130,decode
1131,decrease
1132,decrypt
1133,dedicate
1134,deed
1135,deep
1136,deeply
1137,default
1138,defeat
1139,defence
1140,defend
1141,defense
1142,defenseman
1143,defensive
1144,deficit
1145,define
1146,defines
1147,definite
1148,definitely
1149,definition
1150,degree
