,Text,Label
0,system completes_sale system_inc say complete sale share common_stock warrant acquire additional one mln share n v switzerland dlrs company say warrant exercisable five year purchase_price dlrs per_share say also right buy additional share increase total holding pct outstanding_common stock certain_circumstance involve change control company company say condition occur warrant would exercisable price equal pct common_stock market price time exceed dlrs per_share also say sell right dot impact technology include future improvement inc houston dlrs say would continue exclusive worldwide licensee technology company say move part reorganization plan would help pay current operation cost ensure product delivery make computer generate label form printer terminal reuter,acq
1,inc year net shr_ct v dlrs net v asset mln v mln deposit mln v mln loan mln v mln note th_qtr available year include_extraordinary gain tax carry forward dlrs five ct per shr reuter,earn
2,international_inc nd_qtr jan oper_shr loss two ct v profit seven_ct oper_shr profit v profit rev_mln v mln avg_shrs mln v mln six_mths oper_shr profit nil v profit ct oper_net profit v profit rev_mln v mln avg_shrs mln v mln note per shr calculate payment_prefer dividend result_exclude credit four_ct nine ct qtr six_mths v six ct ct_prior period operating loss_carryforwards reuter,earn
3,inc th_qtr net shr one dlr v ct net mln v mln rev_mln v mln nine_mths shr dlrs v dlrs net mln v mln rev billion v mln reuter,earn
4,food see_strong th_qtr earnings food co expect earnings fourth_quarter end may exceed year_ago period chairman kenneth douglas told analyst fiscal fourth_quarter food report earnings ct share douglas also say year sale exceed billion dlrs billion dlrs prior year repeat earlier projection third_quarter earnings probably slightly last_year ct share fall range ct ct share douglas say early project whether anticipate fourth_quarter performance would enough u exceed prior year overall earnings dlrs share douglas say experience pct improvement effect tax_reform act alone president howard say fiscal company benefit various dairy frozen acquisition ryan co also say company benefit acquisition late december inc west chicago say company major shareholder e b food ltd united_kingdom arrangement australia canada brazil japan provide entry corp year douglas told analyst reuter,earn
5,set stock_split ups_payout inc say board_approve three_two stock_split pct increase company cash dividend company cite improve_earnings outlook continued strong cash_flow reason raise dividend say split share would effective_march company say director declare quarterly_cash dividend new share class ct payable_april one holder_record march prior split company paid ct quarterly today report pct increase third_quarter profit mln dlrs dlr share seven pct increase sale record mln dlrs say nine_month profit decline bit mln dlrs dlrs share mln dlrs dlrs share year_earlier due second_quarter charge ct share restructuring operation company say low corporate tax rate restructuring expect substantially improve earnings cash_flow fiscal reuter,earn
6,radio electronics inc th_qtr shr profit ct v profit four_ct annual div_ct v ct_prior yr net profit v profit rev v mths_shr profit ct v loss ct net profit v loss rev_mln v note annual dividend_payable april stockholder_record march reuter,earn
7,corp th_qtr net shr_ct v ct net v rev_mln v mln year shr dlrs v dlrs net v rev_mln v mln note result include adjustment dlrs ct shr year period improvement result universal life business first estimate reuter,earn
8,inc raise qtly_dividend qtly_div eight_ct v ct_prior pay march record_march reuter,earn
9,computer language research th_qtr shr loss ct v loss ct net loss v loss rev_mln v mln qtly_div three ct v three ct_prior year shr profit two ct v profit ct net profit v profit rev_mln v mln note dividend_payable april one shareholder_record march reuter,earn
10,ltd th_qtr net shr_ct v ct net mln v sale mln v mln avg_shrs v year shr dlrs v dlrs net mln v mln sale mln v mln avg_shrs v reuter,earn
11,standard trustco see well year standard trustco say expect earnings increase least pct dlrs dlrs per_share record stable interest_rate grow economy expect provide favorable condition growth president told shareholder annual_meeting standard trustco previously_report asset billion dlrs billion dlrs return common shareholder equity pct last_year pct reuter,earn
