,Text,Label
0,system completes_sale system inc sale share common_stock warrant additional mln share n v dlrs company warrant year purchase_price dlrs share also right additional share increase total holding pct outstanding_common stock change control company company condition occur warrant price equal pct common_stock market price time exceed dlrs share also right dot impact technology future improvement inc houston dlrs continue worldwide technology company move part help pay current operation cost product delivery computer form terminal reuter,acq
1,inc year net shr_ct v dlrs net v asset mln v mln deposit mln v mln loan mln v mln note th_qtr available year extraordinary_gain tax carry forward dlrs ct shr reuter,earn
2,international_inc nd_qtr jan oper_shr loss ct v profit ct oper_shr profit v profit rev mln v mln avg_shrs mln v mln mths_oper shr profit nil v profit ct oper_net profit v profit rev mln v mln avg_shrs mln v mln note shr payment dividend credit ct ct qtr mths v ct ct_prior period operating loss_carryforwards reuter,earn
3,inc th_qtr net shr dlr v ct net mln v mln rev mln v mln mths_shr dlrs v dlrs net mln v mln rev v mln reuter,earn
4,food th_qtr earnings food co earnings fourth_quarter exceed year_ago period chairman told analyst fiscal fourth_quarter food earnings ct share also year sale exceed dlrs dlrs prior year_earlier third_quarter earnings probably slightly last_year ct share range ct ct share early project fourth_quarter performance enough exceed prior year overall earnings dlrs share pct improvement effect tax_reform act president howard fiscal company benefit various acquisition co also company benefit acquisition late december inc west chicago company major shareholder e b food ltd arrangement australia canada brazil japan corp year told analyst reuter,earn
5,set stock_split inc board stock_split pct increase company cash dividend company earnings outlook continued strong cash_flow reason dividend split share effective march company director dividend new share class ct payable_april holder_record march prior split company paid ct quarterly today pct increase third_quarter profit mln dlrs dlr share pct increase sale record mln dlrs month profit mln dlrs dlrs share mln dlrs dlrs share year_earlier due second_quarter charge ct share restructuring operation company low corporate tax rate restructuring substantially earnings cash_flow fiscal reuter,earn
6,radio electronics inc th_qtr shr profit ct v profit ct annual div_ct v ct_prior yr net profit v profit rev v mths_shr profit ct v loss ct net profit v loss rev mln v note annual dividend_payable april march reuter,earn
7,corp th_qtr net shr_ct v ct net v rev mln v mln year shr dlrs v dlrs net v rev mln v mln note result_include adjustment dlrs ct shr year period improvement result universal life business first reuter,earn
8,inc raise qtly_dividend qtly_div ct v ct_prior pay march record_march reuter,earn
9,computer research th_qtr shr loss ct v loss ct net loss v loss rev mln v mln qtly_div ct v ct_prior year shr profit ct v profit ct net profit v profit rev mln v mln note dividend_payable april shareholder_record march reuter,earn
10,ltd th_qtr net shr_ct v ct net mln v sale mln v mln avg_shrs v year shr dlrs v dlrs net mln v mln sale mln v mln avg_shrs v reuter,earn
11,standard see well year standard earnings increase least pct dlrs dlrs share stable interest_rate economy provide condition growth president told shareholder annual_meeting standard previously asset dlrs dlrs return common shareholder equity pct last_year pct reuter,earn
12,th_qtr loss shr loss ct v loss ct net loss v loss rev mln v mln month shr loss ct v profit ct net loss v profit rev mln v mln note net loss th_qtr charge restructuring mln dlrs tax ct share net loss tax mln dlrs ct share reuter,earn
13,rise hope high bid chemlawn corp high bid dlrs share waste_management inc wall_street arbitrageur share chemlawn mln company mln share hand late afternoon company time cash_flow dlrs dollar bidder arbitrageur waste_management tender_offer opening today march surprise chemlawn spokeswoman company board held today waste_management announcement statement certain ready unable prior contact waste_management chemlawn official think resist analyst inc company surprise attack arbitrageur difficult resist tender_offer share cash chemlawn try want waste_management analyst company l_p inc example company interested chemlawn mln customer large u company application waste_management waste chemlawn company strong commercial distribution system high growth rate chemlawn share price mid stock rate growth company profit fourth_quarter chemlawn dlrs share full year dlrs fourth_quarter chemlawn individual offer care reuter,acq
14,brazil anti inflation plan inflation plan home abroad economy towards first price shortage foreign payment crisis last february plan price value new currency economy bid halt country pct inflation rate year plan situation bad inflation least economy bank economist plan foreign trade account brazil annual trade_surplus sufficient cover dlrs service dlr foreign_debt first_month target monthly surplus dlrs export import avoid domestic shortage trade_surplus mln dlrs october mln reuter,trade
15,agency report ship commission u government agency daily operation report backlog ship enter early today next day due end day backlog average time tomorrow tanker regular vessel north south reuter,ship
16,america first mortgage set special payout america first mortgage fund special distribution ct unit ct return capital ct income gain reuter,earn
17,corp qtly_dividend qtly_div ct v ct_prior record_march reuter,earn
18,international strong prospect international_inc reporting operating loss january second_quarter prospect balance fiscal_year remain good order harris subsidiary june continue strong month order pct prior year period basis mln dlrs backlog harris pct fiscal_year international old division benefit recent new decline research_development engineering expenditure fiscal mln dlr range company mln dlrs earlier fourth_quarter operating loss ct share profit ct share year_ago revenue mln dlrs mln dlrs reuter,earn
19,gulf freight rate call gulf freight rate outlook vessel gulf demand supply ship dealer today exchange call session versus yesterday delivery week pct tariff bid next_week river ex chicago percentage_point next_week pct bid point next_week ohio river south pct bid point station south chicago pct bid comparison march illinois ex chicago pct bid point march ohio river bid yesterday level pct march low pct bid comparison ex chicago pct bid comparison sept nov low pct bid sept dec section pct bid comparison reuter,ship
20,gulf unit see gain gulf technology inc pipeline terminal operation unit mln dlrs record gain mln dlrs first_quarter federal tax transaction offset operating loss reuter,earn
21,farmer group inc th_qtr net shr_ct v ct net v rev mln v mln year shr dlrs v dlrs net v rev v mln avg_shrs v reuter,earn
22,co jan_net shr_ct v ct net v rev v avg_shrs mln v mln mths_shr dlrs v dlrs net v rev v avg shr mln v mln note late mths net gain ct share sale service dominion resource inc reuter,earn
23,inc buy undisclosed_amount inc inc houston custom high pressure process vessel energy industry group company manufacture system oil_gas utility marine industry reuter,acq
24,corp set_quarterly dividend_qtly div ct v ct_prior pay_april record_march reuter,earn
25,financial corp th_qtr net shr_ct v dlrs net v mln rev mln v mln year shr_ct v dlrs net v mln rev mln v mln note th_qtr yr amount include acquisition pct common formerly federal_saving loan_association january th_qtr yr net include net gain mln dlrs dlrs share exchange common america bank inc common corp merger company reuter,earn
26,philippine year net shr_primary peso v peso shr peso v peso qtly_div peso v peso net v mln rev v note_full name philippine telephone co figure philippine peso dividend_payable april_holder record_march exchange_rate day dividend peso dollar reuter,earn
27,liberty star equity fund initial div_qtly div_ct v n payable_april record_march note dividend special ct share period fund operation december reuter,earn
28,inc regular div_qtly div_ct v ct_prior pay_april record_april reuter,earn
29,corp raise dividend_qtly div_ct v ct pay march record_march reuter,earn
30,international increase annual ct v ct_prior annual b ct v ct_prior payable_april record_march note_full name international_inc reuter,earn
31,inc qtly_div ct v ct_prior pay march record february reuter,earn
32,inc year net shr dlrs v dlrs net v rev v note result_include extraordinary_gain dlrs ct share share offering unit reuter,earn
