,Text,Label
0,stock_split inc board_director stock_split common_share shareholder_record april company also shareholder annual_meeting april increase capital stock mln mln share reuter,earn
1,system system_inc sale share common_stock warrant additional mln share n v switzerland dlrs company year purchase price dlrs share also right additional share increase total holding pct outstanding_common stock change control company company condition price equal pct common_stock market price time exceed dlrs share also right dot impact technology future improvement inc houston dlrs continue worldwide technology company move part help pay current operation cost product delivery computer form terminal reuter,acq
2,inc year net_shr ct v dlrs net v asset mln v mln deposit mln v mln loan mln v mln note th_qtr available year extraordinary_gain tax carry forward dlrs ct shr reuter,earn
3,international inc nd_qtr jan oper_shr loss ct v profit ct_oper shr profit v profit_rev mln v mln avg_shrs mln v mln mths_oper shr profit nil v profit ct_oper net profit v profit_rev mln v mln avg_shrs mln v mln note shr payment dividend credit ct ct qtr mths v ct ct_prior period operating loss_carryforwards reuter,earn
4,inc th_qtr net_shr dlr v ct_net mln v mln rev_mln v mln mths_shr dlrs v dlrs net mln v mln rev v mln reuter,earn
5,food th_qtr earnings food co earnings fourth_quarter exceed year_ago period chairman told analyst fiscal fourth_quarter food earnings ct share also year sale exceed dlrs dlrs prior year_earlier projection third_quarter earnings probably slightly last_year ct share range ct ct share early project fourth_quarter performance enough exceed prior year overall earnings dlrs share pct improvement effect tax_reform act president fiscal company benefit various acquisition co also company benefit acquisition late december inc west chicago company major shareholder e b food ltd arrangement australia canada brazil japan corp year told analyst reuter,earn
6,cent ct co price immediately reuter,copper
7,set stock_split inc board stock_split pct increase company company earnings outlook continued strong cash_flow reason dividend split share effective march company director dividend new share class ct payable_april holder_record march prior split company paid ct quarterly today pct increase third_quarter profit mln dlrs dlr share pct increase sale record mln dlrs month profit mln dlrs dlrs share mln dlrs dlrs share year_earlier due second_quarter charge ct share restructuring operation company low corporate tax rate restructuring substantially earnings cash_flow fiscal reuter,earn
8,electronics inc th_qtr shr profit ct v profit ct annual div_ct v ct_prior yr net profit v profit_rev v mths_shr profit ct v loss ct_net profit v loss_rev mln v note annual dividend_payable april march reuter,earn
9,corp th_qtr net_shr ct v ct_net v rev_mln v mln year shr dlrs v dlrs net v rev_mln v mln note result_include adjustment dlrs ct shr year period improvement result universal life business first reuter,earn
10,january housing sale drop group sale previously home pct january rate mln unit national association december rate mln unit high record mln unit sale rate set november group drop january significant portion december record pace capital gain treatment old tax law john reuter,housing
11,asset money_market mln dlrs late week,money-supply
12,inc raise qtly_dividend qtly_div ct v ct_prior pay march record_march reuter,earn
