,0
0,a86_a86
1,ab
2,ability
3,able
4,absolute
5,absolutely
6,abuse
7,ac
8,accept
9,acceptable
10,accepted
11,access
12,accident
13,account
14,accurate
15,act
16,action
17,active
18,activity
19,actual
20,actually
21,ad
22,adam
23,adapter
24,addition
25,additional
26,address
27,adl
28,administration
29,admit
30,adult
31,advance
32,advanced
33,advantage
34,advice
35,affect
36,afraid
37,age
38,agency
39,agent
40,ago
41,agree
42,agreement
43,ah
44,ahead
45,aid
46,air
47,al
48,alan
49,algorithm
50,alive
51,allows
52,almost
53,alone
54,already
55,also
56,alternative
57,always
58,america
59,american
60,amiga
61,amount
62,amp
63,analysis
64,ancient
65,andor
66,andrew
67,andrewcmuedu
68,animal
69,animation
70,announcement
71,annual
72,anonymous
73,anonymous_ftp
74,answer
75,answer_question
76,anybody
77,anymore
78,anyone
79,anyone_else
80,anything
81,anyway
82,anywhere
83,apart
84,apartment
85,apparently
86,apple
87,application
88,applies
89,appreciate
90,approach
91,appropriate
92,apr
93,apr_gmt
94,april
95,arab
96,archive
97,area
98,argue
99,argument
100,arm
101,armenia
102,armenian
103,army
104,art
105,article
106,articleid
107,aside
108,ask
109,aspect
110,assault
111,association
112,assumption
113,atheism
114,atheist
115,athosrutgersedu
116,attack
117,attempt
118,attention
119,attitude
120,audio
121,australia
122,author
123,authority
124,auto
125,automatic
126,automatically
127,available
128,average
129,avoid
130,aware
131,away
132,ax
133,ax_ax
134,ax_max
135,azerbaijan
136,azerbaijani
137,b8f_b8f
138,baby
139,back
140,background
141,backup
142,bad
143,ball
144,band
145,bank
146,bar
147,base
148,baseball
149,basic
150,basically
151,basis
152,batf
153,battery
154,battle
155,bb
156,bc
157,bd
158,bear
159,beat
160,become
161,becomes
162,begin
163,behavior
164,belief
165,bell
166,benefit
167,best
168,bet
169,bible
170,biblical
171,big
172,bike
173,bill
174,binary
175,bios
176,bit
177,bitmap
178,black
179,blame
180,block
181,blood
182,blow
183,blue
184,bmw
185,board
186,bob
187,body
188,bomb
189,bond
190,book
191,boot
192,border
193,born
194,bos
195,bosnia
196,boston
197,bottom
198,bought
199,box
200,boy
201,brain
202,brake
203,brand
204,brave
205,break
206,brian
207,bring
208,british
209,broken
210,brother
211,brought
212,brown
213,bruce
214,btw
215,buck
216,budget
217,buf
218,bug
219,build
220,building
221,built
222,bullet
223,bunch
224,burn
225,burning
226,bus
227,business
228,button
229,buying
230,byte
231,cable
232,cache
233,cal
234,california
235,call
236,camera
237,campaign
238,canada
239,canada_line
240,canadian
241,cancer
242,cap
243,capability
244,capable
245,car
246,card
247,care
248,career
249,careful
250,carefully
251,carnegie_mellon
252,carry
253,case
254,case_western
255,cat
256,catch
257,category
258,catholic
259,caught
260,cause
261,cd
262,cdrom
263,cell
264,center
265,central
266,centre
267,centris
268,century
269,certain
270,certainly
271,challenge
272,chance
273,change
274,channel
275,chapter
276,character
277,charge
278,charles
279,cheap
280,cheaper
281,check
282,checked
283,chicago
284,child
285,chip
286,choice
287,choose
288,chris
289,christ
290,christian
291,christianity
292,church
293,circle
294,circuit
295,circumstance
296,citizen
297,city
298,civilian
299,claim
300,claimed
301,clark
302,class
303,clean
304,clear
305,clearly
306,clh
307,client
308,clinton
309,clipper
310,clipper_chip
311,clock
312,close
313,closer
314,club
315,clutch
316,co
317,coach
318,code
319,cold
320,collection
321,college
322,color
323,colour
324,combination
325,command
326,comment
327,commercial
328,committee
329,common
330,communication
331,community
332,company
333,compare
334,comparison
335,compatible
336,complaint
337,complete
338,completely
339,complex
340,component
341,compound
342,compression
343,computer
344,computer_science
345,concept
346,concern
347,concerned
348,conclusion
349,condition
350,conference
351,configuration
352,conflict
353,congress
354,connect
355,connection
356,connector
357,consequence
358,consideration
359,consistent
360,constant
361,constitution
362,contact
363,contain
364,contains
365,content
366,context
367,continue
368,continued
369,contract
370,contrary
371,control
372,controller
373,conversation
374,conversion
375,convert
376,converter
377,convince
378,cool
379,cop
380,copy
381,corner
382,corp
383,corporation
384,correct
385,correctly
386,cost
387,count
388,country
389,couple
390,course
391,court
392,cover
393,coverage
394,cpu
395,craig
396,crap
397,crash
398,create
399,creation
400,credit
401,crime
402,criminal
403,cross
404,crowd
