,Text,Label
0,system completes_sale system inc sale share common_stock warrant additional mln share n v switzerland dlrs company warrant exercisable year purchase_price dlrs share also right additional share increase total holding pct outstanding_common stock certain_circumstance change control company company condition occur warrant exercisable price equal pct common_stock market price time exceed dlrs share also right dot impact technology future improvement inc houston dlrs continue exclusive worldwide licensee technology company move part help pay current operation cost product delivery computer label form printer terminal reuter,acq
1,inc year net shr_ct v dlrs net v asset mln v mln deposit mln v mln loan mln v mln note th_qtr available year extraordinary_gain tax carry forward dlrs ct shr reuter,earn
2,international_inc nd_qtr jan oper_shr loss ct v profit ct oper_shr profit v profit rev mln v mln avg_shrs mln v mln mths_oper shr profit nil v profit ct oper_net profit v profit rev mln v mln avg_shrs mln v mln note shr payment dividend result_exclude credit ct ct qtr mths v ct ct_prior period operating loss_carryforwards reuter,earn
3,brown_forman inc th_qtr net shr dlr v ct net mln v mln rev mln v mln mths_shr dlrs v dlrs net mln v mln rev v mln reuter,earn
4,food see_strong th_qtr earnings food co earnings fourth_quarter exceed year_ago period chairman kenneth douglas told analyst fiscal fourth_quarter food earnings ct share douglas also year sale exceed dlrs dlrs prior year_earlier projection third_quarter earnings probably slightly last_year ct share range ct ct share douglas early project fourth_quarter performance enough exceed prior year overall earnings dlrs share douglas experience pct improvement effect tax_reform act alone president howard fiscal company benefit various dairy frozen acquisition ryan co also company benefit acquisition late december inc west chicago company major shareholder e b food ltd united_kingdom arrangement australia canada brazil japan entry corp year douglas told analyst reuter,earn
5,brown_forman set stock_split ups_payout brown_forman inc board stock_split pct increase company cash dividend company earnings outlook continued strong cash_flow reason dividend brown_forman split class_class share effective march company director quarterly_cash dividend new share class ct payable_april holder_record march prior split company paid ct quarterly brown_forman today pct increase third_quarter profit mln dlrs dlr share pct increase sale record mln dlrs brown_forman month profit bit mln dlrs dlrs share mln dlrs dlrs share year_earlier due second_quarter charge ct share restructuring operation company low corporate tax rate restructuring substantially brown_forman earnings cash_flow fiscal reuter,earn
6,radio electronics inc th_qtr shr profit ct v profit ct annual div_ct v ct_prior yr net profit v profit rev v mths_shr profit ct v loss ct net profit v loss rev mln v note annual dividend_payable april stockholder_record march reuter,earn
7,corp th_qtr net shr_ct v ct net v rev mln v mln year shr dlrs v dlrs net v rev mln v mln note result_include adjustment dlrs ct shr year period improvement result universal life business first reuter,earn
8,owen inc raise qtly_dividend qtly_div ct v ct_prior pay march record_march reuter,earn
9,computer language research th_qtr shr loss ct v loss ct net loss v loss rev mln v mln qtly_div ct v ct_prior year shr profit ct v profit ct net profit v profit rev mln v mln note dividend_payable april shareholder_record march reuter,earn
10,ltd th_qtr net shr_ct v ct net mln v sale mln v mln avg_shrs v year shr dlrs v dlrs net mln v mln sale mln v mln avg_shrs v reuter,earn
11,standard trustco see well year standard trustco earnings increase least pct dlrs dlrs share stable interest_rate economy provide favorable condition growth president told shareholder annual_meeting standard trustco previously asset dlrs dlrs return common shareholder equity pct last_year pct reuter,earn
12,th_qtr loss shr loss ct v loss ct net loss v loss rev mln v mln month shr loss ct v profit ct net loss v profit rev mln v mln note net loss th_qtr charge restructuring mln dlrs tax ct share net loss tax special_charge mln dlrs ct share reuter,earn
13,chemlawn_chem rise hope high bid chemlawn corp attract high bid dlrs share waste_management inc wall_street arbitrageur share chemlawn shot mln company mln share hand late afternoon company time cash_flow dlrs maybe dollar bidder arbitrageur waste_management tender_offer opening today expires march totally surprise chemlawn spokeswoman company board held today waste_management announcement statement certain ready unable prior contact waste_management chemlawn official think resist analyst ball inc company surprise attack arbitrageur difficult resist tender_offer share cash chemlawn try white want waste_management analyst snyder company l_p inc example company interested chemlawn mln customer large u company application waste_management removal waste chemlawn company strong residential commercial distribution system high growth rate chemlawn share price mid stock rate growth company profit fourth_quarter chemlawn dlrs share full year dlrs fourth_quarter chemlawn thousand individual offer garden care reuter,acq
14,brazil anti inflation plan anniversary inflation plan initially home abroad economy towards first anniversary price widespread shortage foreign payment crisis last february plan price value new currency widespread economy bid halt country pct inflation rate year plan situation bad inflation least economy bank economist plan reversal foreign trade account brazil annual trade_surplus sufficient cover dlrs service dlr foreign_debt first_month target repeat monthly surplus dlrs export import avoid domestic shortage trade_surplus mln dlrs october mln reuter,trade
15,agency report ship commission u government agency daily operation report backlog ship enter canal early today next day due transit end day backlog average time tomorrow super tanker regular vessel north hr south hr reuter,ship
16,america first mortgage set special payout america first guaranteed mortgage fund special distribution ct exchangeable unit ct return capital ct income gain reuter,earn
17,emhart corp qtly_dividend qtly_div ct v ct_prior payable_march record_march reuter,earn
18,international cite strong prospect international_inc reporting operating loss january second_quarter prospect balance fiscal_year remain good order harris graphic subsidiary june continue strong pace month order pct prior year period basis mln dlrs backlog harris pct fiscal_year international old division benefit recent new product_introduction decline value_dollar research_development engineering expenditure fiscal mln dlr range company mln dlrs capital_expenditure earlier fourth_quarter operating loss ct share profit ct share year_ago revenue mln dlrs mln dlrs reuter,earn
19,gulf barge freight rate call gulf barge freight rate outlook steady vessel gulf demand barge supply ship dealer barge today st_louis merchant exchange call session versus yesterday quote delivery week pct tariff bid next_week river ex chicago percentage_point next_week mississippi_river st_louis pct bid point next_week ohio river south pct bid point station south chicago pct bid comparison march illinois ex chicago pct bid point march ohio river bid yesterday level pct march low mississippi_river memphis pct bid comparison ex chicago pct bid comparison sept nov low mississippi_river memphis pct bid sept dec section pct bid comparison reuter,ship
20,gulf unit see gain gulf technology inc pipeline terminal operation unit mln dlrs record gain mln dlrs first_quarter federal tax transaction offset operating loss reuter,earn
21,farmer group inc th_qtr net shr_ct v ct net v rev mln v mln year shr dlrs v dlrs net v rev v mln avg_shrs v reuter,earn
22,co jan_net shr_ct v ct net v rev v avg_shrs mln v mln mths_shr dlrs v dlrs net v rev v avg shr mln v mln note late mths net gain ct share sale virginia service dominion resource inc reuter,earn
23,inc buy undisclosed_amount inc inc houston custom high pressure process vessel energy industry group company manufacture system oil_gas utility marine industry reuter,acq
24,corp set_quarterly dividend_qtly div ct v ct_prior pay_april record_march reuter,earn
