,0
0,1970s
1,aa
2,ab
3,abandon
4,abdul
5,abe
6,abide
7,ability
8,able
9,abroad
10,absence
11,absorb
12,abu
13,accelerate
14,accept
15,accept_officer
16,acceptable
17,acceptance
18,accepted
19,accepted_support
20,access
21,accident
22,accord
23,accordance
24,account
25,account_demand
26,accounting
27,accrual
28,accurate
29,achieve
30,acid
31,acquires
32,acquisition
33,acre
34,acre_bid
35,acre_however
36,acreage
37,acreage_half
38,acreage_previously
39,act
40,act_government
41,action
42,action_told
43,active
44,active_currency
45,actively
46,activity
47,actual
48,actually
49,ad
50,adam
51,addition
52,additional
53,address
54,adequate
55,adhere
56,adherence
57,adhesive
58,adjust
59,adjustment
60,administration
61,administration_ago
62,administrative
63,administrator
64,adopt
65,adoption
66,advance
67,advanced
68,advantage
69,adverse
70,adversely
71,advertisement
72,advertising
73,advice
74,advise
75,adviser
76,adviser_mark
77,advisor
78,advisory
79,aegean
80,aerospace
81,affair
82,affect
83,affect_equivalent
84,affect_past
85,affected
86,affiliate
87,afford
88,afg
89,africa
90,africa_minister
91,africa_profit
92,african
93,african_barrel
94,afternoon
95,ag
96,agency
97,agency_japanese
98,agency_next
99,agency_war
100,agenda
101,agent
102,aggregate
103,aggressive
104,aggressively
105,ago
106,ago_shipment
107,agree
108,agreement
109,agreement_field
110,agreement_response
111,agricultural
112,agriculture
113,agriculture_method
114,agriculture_price
115,ahead
116,aid
117,aide
118,aim
119,air
120,air_asset
121,airbus
122,aircraft
123,aire
124,airline
125,airline_surprise
126,airod
127,airport
128,airway
129,akron
130,al
131,alan
132,alaskan
133,albert
134,alberta
135,alcan
136,alcohol
137,alert
138,algeria
139,algerian
140,ali
141,allegation
142,alleges
143,allegheny
144,allegheny_stg
145,allegis
146,allen
147,alliance
148,allied
149,allis
150,allocate
151,allocation
152,allowance
153,allows
154,alloy
155,ally
156,almost
157,alone
158,already
159,also
160,alter
161,alternative
162,alumina
163,aluminium
164,aluminum
165,alvite
166,always
167,ambassador
168,amc
169,amendment
170,america
171,american
172,american_buenos
173,american_money
174,american_sorghum
175,ameritrust
176,ami
177,amoco
178,amount
179,ample
180,amsterdam
181,amstutz
182,amusement
183,anacomp
184,analysis
185,analyst
186,anchor
187,andriessen
188,angeles
189,angered
190,angra
191,animal
192,annesley
193,announce
194,announcement
195,annual
196,annual_gold
197,annually
198,answer
199,anti
200,anti_government
201,anticipates
202,anticipation
203,anything
204,apart
205,api
206,apparel
207,apparent
208,apparently
209,appeal
210,appliance
211,application
212,applies
213,appraisal
214,appreciate
215,appreciation
216,approach
217,approach_period
218,appropriate
219,appropriation
220,approval
221,approval_energy
222,approval_united
223,approximately
224,apr
225,april
226,april_consecutive
227,april_consumer
228,april_crisis
229,april_expansion
230,april_intervene
231,april_local
232,april_technology
233,aqazadeh
234,aquino
235,arab
236,arabia
237,arabian
238,aramco
239,arango
240,arbitrage
241,arbitrager
242,arbitrageur
243,arbitration
244,arc
245,arctic
246,area
247,area_access
248,area_amstutz
249,argentina
250,argentine
251,argosystems
252,argue
253,argument
254,arizona
255,arm
256,arrange
257,arrangement
258,arrangement_k
259,arrival
260,arrive
261,arthur
262,article
263,arturo
264,asa
265,asa_profit
266,ascs
267,asea
268,asean
269,asher
270,asia
271,asian
272,aside
273,ask
274,aspect
275,ass
276,assay
277,assembly
278,assessment
279,asset
280,assist
281,assistance
282,assistant
283,associate
284,associate_government
285,association
286,association_economy
287,association_subsidiary
288,assumes
289,assumption
290,assurance
291,assure
292,athens
293,atlanta
294,atlantic
295,atpc
296,att
297,attack
298,attempt
299,attend
300,attention
301,attitude
302,attorney
303,attract
304,attractive
305,attributable
306,auction
307,audi
308,audio
309,auditor
310,aug
311,august
312,austerity
313,australia
314,australian
315,austria
316,authority
317,authorization
318,auto
319,automatic
320,automatically
321,automation
322,automobile
323,automotive
324,autumn
325,availability
326,available
327,avana
328,average
329,average_monetary
330,avert
331,avg
332,avg_gain
333,avg_unit
334,avia
335,aviation
336,avoid
337,award
338,aware
339,away
340,awb
341,ay
342,aziz
343,azpurua
344,bache
345,back
346,back_board
347,back_unlikely
348,backing
349,backlog
350,bad
351,badly
352,bag
353,bag_economist
354,bahia
355,bahrain
356,baht
357,baird
358,baker
359,baker_increase
360,balance
361,balao
362,baldrige
363,bale
364,ball
365,balladur
366,bally
367,baltic
368,ban
369,banco
370,bancorp
371,bancroft
372,bancshares
373,band
374,band_option
375,band_rd
376,bangemann
377,bangladesh
378,bank
379,bank_increasingly
380,bank_interim
381,bank_protectionist
382,bank_sale
383,bank_stabilise
384,bankamerica
385,banker
386,banking
387,bankruptcy
388,banner
389,banque
390,banque_cardenas
391,bar
392,barber
393,barclays_seed
394,barely
395,bargain
396,bargaining
397,barge
398,barley
399,barney
400,barrel
401,barrier
402,barter
403,base
404,base_international
405,base_investment
406,base_l
407,basic
408,basic_export
409,basically
410,basin
411,basis
412,basis_money
413,basis_share
414,basket
415,bass
416,bat
417,battery
418,battle
419,bauxite
420,bay
421,bayou
422,bbl
423,beach
424,bean
425,bear
426,bearing
427,bearish
428,become
429,becomes
430,becor
431,beef
432,beet
433,beet_annual
434,begin
435,behalf
436,belgian
437,belgium
438,belief
439,bell
440,belt
441,benchmark
442,beneficial
443,beneficial_government
444,benefit
445,benefit_surplus
446,bentsen
447,berlin
448,best
449,best_average
450,best_mark
451,beverage
452,bhd
453,bhp
454,bid
455,bidder
456,bidding
457,biffex
458,big
459,bil
460,bilateral
461,bill
462,bilzerian
463,binding
464,biotechnology
465,bird
466,bit
467,bit_nt
468,black
469,bloc
470,block
471,blood
472,blow
473,blue
474,board
475,board_qtly
476,board_turnover
477,boat
478,bob
479,body
480,boliden
481,bolivar
482,bolivia
483,bolster
484,bond
485,bond_analyst
486,bonn
487,bonus
488,book
489,boom
490,boost
491,border
492,borg
493,borrow
494,borrower
495,borrowing
496,borrowing_loss
497,boston
498,boston_worker
499,bottom
500,bound
501,bourse
502,bow
503,box
504,boycott
505,bp
506,bp_price
507,bpd
508,bpd_heller
509,bpd_normal
510,bpd_purpose
511,bra
512,brace
513,bracket
514,branch
515,branch_dynamic
516,brand
517,brasil
518,brazil
519,brazilian
520,breach
521,bread
522,break
523,breakdown
524,brent_feature
525,brewery
526,brewing
527,brian
528,bridge
529,brief
530,briefing
531,briefly
532,brierley
533,bring
534,brings
535,bristol
536,britain
537,britain_free
538,british
539,british_rate
540,broad
541,broad_foreign
542,broadcasting
543,broaden
544,broader
545,broadly
546,broke
547,broken
548,broker
549,brokerage
550,brook
551,bros
552,brother
553,brought
554,brown
555,bruce
556,brunswick
557,brusca
558,brussels
559,bu_profit
560,budget
561,budget_commission
562,budget_contract
563,budget_gain
564,budget_london
565,budgetary
566,buffer
567,build
568,builder
569,building
570,built
571,bulk
572,bulk_nevada
573,bull
574,bulletin
575,bullion
576,bullish
577,bundesbank
578,bundesbank_spokesman
579,burden
580,bureau
581,burlington
582,burnham
583,bushel
584,business
585,business_many
586,businessman
587,businessmen
588,butane
589,butter
590,buy
591,buyback
592,buyer
593,buying
594,buying_board
595,buying_edelman
596,buying_york
597,buyout
598,cabinet
599,cable
600,caesar
601,cake
602,calculation
603,calendar
604,calgary
605,calif
606,california
607,call
608,call_national
609,calm
610,calmat
611,campaign
612,campeau
613,canada
614,canadian
615,canadian_association
616,canadian_monetary
617,canal
618,candidate
619,cane
620,cap
621,capability
622,capable
623,capacity
624,capacity_soon
625,capel
626,capital
627,capital_federal
628,capital_past
629,capitalisation
630,capitol
631,car
632,caracas
633,carbide
634,carbon
635,card
636,care
637,care_price
638,careful
639,carefully
640,cargill
641,cargo
642,caribbean
643,carl
644,carlos
645,carney
646,carrier
647,carry
648,carryforward
649,carryforwards
650,carryforwards_slaughter
651,carson
652,cartel
653,carter
654,case
655,case_term
656,case_york
657,cash
658,cash_recently
659,casino
660,caspar
661,cast
662,casualty
663,catalog
664,catch
665,category
666,caterpillar
667,cathay
668,cathode
669,cattle
670,cattleman
671,caught
672,cause
673,caution
674,cautious
675,cautiously
676,cawl
677,cbi
678,cbs
679,cbt
680,ccc
681,cci
682,cd
683,cease
684,ceiling
685,ceiling_great
686,celanese
687,cellular
688,cement_charter
689,cenergy
690,cent
691,cent_force
692,cent_increase
693,cent_note
694,cent_prior
695,cent_york
696,center
697,central
698,centre
699,century
700,cereal
701,cert
702,certain
703,certificate
704,cftc
705,cgct
706,chain
707,chairman
708,chairman_dual
709,challenge
710,challenged
711,chalmers
712,chamber
713,champion
714,champlin
715,chance
716,chancellor
717,change
718,change_action
719,change_annual
720,change_insurance
721,channel
722,chapter
723,charge
724,charles
725,chart
726,charter
727,chase
728,chase_ago
