,Text,Label
0,champion_product approves stock_split champion_product inc board_director stock_split common_share shareholder_record april company also shareholder annual_meeting april increase capital stock mln mln share reuter,earn
1,system completes_sale system_inc sale share common_stock warrant additional mln share n v switzerland dlrs company year purchase price dlrs share also right additional share increase total holding pct outstanding_common stock certain_circumstance change control company company condition occur price equal pct common_stock market price time exceed dlrs share also right dot impact technology future improvement inc houston dlrs continue exclusive worldwide licensee technology company move part help pay current operation cost product delivery computer label form printer terminal reuter,acq
2,inc year net_shr ct v dlrs net v asset mln v mln deposit mln v mln loan mln v mln note th_qtr available year extraordinary_gain tax carry forward dlrs ct shr reuter,earn
3,international inc nd_qtr jan oper_shr loss ct v profit ct_oper shr profit v profit_rev mln v mln avg_shrs mln v mln mths_oper shr profit nil v profit ct_oper net profit v profit_rev mln v mln avg_shrs mln v mln note shr payment dividend result_exclude credit ct ct qtr mths v ct ct_prior period operating loss_carryforwards reuter,earn
4,inc th_qtr net_shr dlr v ct_net mln v mln rev_mln v mln mths_shr dlrs v dlrs net mln v mln rev v mln reuter,earn
5,food see_strong th_qtr earnings food co earnings fourth_quarter exceed year_ago period chairman kenneth douglas told analyst fiscal fourth_quarter food processor earnings ct share douglas also year sale exceed dlrs dlrs prior year_earlier projection third_quarter earnings probably slightly last_year ct share range ct ct share douglas early project fourth_quarter performance enough exceed prior year overall earnings dlrs share douglas experience pct improvement effect tax_reform act alone president howard fiscal company benefit various dairy frozen vegetable acquisition ryan co also company benefit acquisition late december inc west chicago company major shareholder e b food ltd united_kingdom licensing arrangement australia canada brazil japan entry corp year douglas told analyst reuter,earn
6,cent ct co mining_corp copper_cathode price cent_cent immediately reuter,copper
7,set stock_split ups_payout inc board stock_split pct increase company cash_dividend company earnings outlook continued strong cash_flow reason dividend split share effective march company director quarterly_cash dividend new share class ct payable_april holder_record march prior split company paid ct quarterly today pct increase third_quarter profit mln dlrs dlr share pct increase sale record mln dlrs month profit bit mln dlrs dlrs share mln dlrs dlrs share year_earlier due second_quarter charge ct share restructuring beverage operation company low corporate tax rate restructuring substantially earnings cash_flow fiscal reuter,earn
8,radio electronics inc th_qtr shr profit ct v profit ct annual div_ct v ct_prior yr net profit v profit_rev v mths_shr profit ct v loss ct_net profit v loss_rev mln v note annual dividend_payable april stockholder_record march reuter,earn
9,corp th_qtr net_shr ct v ct_net v rev_mln v mln year shr dlrs v dlrs net v rev_mln v mln note result_include adjustment dlrs ct shr year period improvement result universal life business first reuter,earn
10,january housing sale drop realty group sale previously home pct january seasonally_annual rate mln unit national association december rate mln unit high record mln unit sale rate set november group drop january significant portion december record pace seller favorable capital gain treatment old tax law john reuter,housing
11,asset money_market mutual_fund mln dlrs late week,money-supply
12,owen inc raise qtly_dividend qtly_div ct v ct_prior pay march record_march reuter,earn
13,computer language research th_qtr shr_loss ct v loss ct_net loss v loss_rev mln v mln qtly_div ct v ct_prior year shr profit ct v profit ct_net profit v profit_rev mln v mln note dividend_payable april shareholder_record march reuter,earn
14,ltd th_qtr net_shr ct v ct_net mln v sale mln v mln avg_shrs v year shr dlrs v dlrs net mln v mln sale mln v mln avg_shrs v reuter,earn
15,standard see well year standard earnings increase least pct dlrs dlrs share stable interest_rate economy provide favorable condition growth president told shareholder annual_meeting standard previously asset dlrs dlrs return common shareholder equity pct last_year pct reuter,earn
16,th_qtr loss shr_loss ct v loss ct_net loss v loss_rev mln v mln month shr_loss ct v profit ct_net loss v profit_rev mln v mln note net loss th_qtr charge restructuring mln dlrs tax ct share net loss tax special charge mln dlrs ct share reuter,earn
17,ico producer present new coffee proposal international_coffee organization_ico country present proposal export_quota month april firm undertaking try negotiate september future quota distribution new basis ico delegate distribution april unchanged basis earlier producer proposal shortfall mln bag ico contact group meeting consumer tomorrow delegate reuter,coffee
18,rise hope high bid chemlawn corp attract high bid dlrs share waste_management inc wall_street arbitrageur share chemlawn shot mln company mln share hand late afternoon company time cash_flow dlrs maybe dollar bidder arbitrageur waste_management tender_offer opening today expires march totally surprise chemlawn spokeswoman company board held today waste_management announcement statement certain ready unable prior contact waste_management chemlawn official think resist analyst ball inc company surprise attack arbitrageur difficult resist tender_offer share cash chemlawn try white want waste_management analyst snyder company l_p inc example company interested chemlawn mln customer large u company application waste_management removal waste chemlawn company strong residential commercial distribution system high growth rate chemlawn share price mid stock rate growth company profit fourth_quarter chemlawn dlrs share full year dlrs fourth_quarter chemlawn thousand individual offer garden care reuter,acq
19,u sugar_import week usda sugar_import subject u sugar_import quota week january initial week sugar quota year short_ton versus ton previous_week agriculture_department sugar_import quota quota year january december set short_ton ton quota year month december department custom service weekly cumulative import actual weight basis final cumulative import data reuter,sugar
